# Logfile created on 2014-05-25 20:05:42 -0500 by logger.rb/31641
W, [2014-05-25T21:30:50.496911 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corparms12 is not assigned to a portgroup
W, [2014-05-25T21:30:50.497004 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t1-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.497095 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss11-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.497184 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcdb11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.497281 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcinv11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.500917 #16463]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - corpesxamp11.test.syncopatedtech.com be havin a problem with vnics
W, [2014-05-25T21:30:50.505006 #16463]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - corpesxdmzt02a.test.syncopatedtech.com be havin a problem with vnics
I, [2014-05-25T21:30:52.497829 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa3t1 based on filterSpec
I, [2014-05-25T21:31:26.720959 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:31:26.848428 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - mule3sxa is not assigned to a portgroup
W, [2014-05-25T21:31:26.848884 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ipap3s1 is not assigned to a portgroup
I, [2014-05-25T21:31:29.582078 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa3t2 based on filterSpec
I, [2014-05-25T21:32:03.008739 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:32:03.225604 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceesx2-nagios-sl-6.4-10262013 is not assigned to a portgroup
W, [2014-05-25T21:32:03.225873 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceesx6-nagios-sl-6.4-10262013 is not assigned to a portgroup
W, [2014-05-25T21:32:03.225999 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceesx4-nagios-sl-6.4-10262013 is not assigned to a portgroup
W, [2014-05-25T21:32:03.226111 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceesx8-nagios-sl-6.4-10262013 is not assigned to a portgroup
W, [2014-05-25T21:32:03.226289 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - nagios-sl-6.4-10262013-vcsa3t2 is not assigned to a portgroup
I, [2014-05-25T21:32:06.108468 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from iscevcms1 based on filterSpec
I, [2014-05-25T21:32:09.709436 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:32:09.713420 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscedcnm1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.713544 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceuims1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.713642 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess4-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.713732 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - insightiq_3.0 is not assigned to a portgroup
W, [2014-05-25T21:32:09.713846 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceisilon1_old datastore 2.1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714055 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess4-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714198 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t4-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714280 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t4-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714378 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess2-1 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.714457 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevcsso1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714558 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevcms1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714649 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevums1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714723 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevcinv1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714824 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t1-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.714904 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t3-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715009 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t3-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715099 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess2-2 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.715179 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevcdb1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715300 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t1-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715379 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess2-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715457 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess2-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715544 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess1-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715630 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess1-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715732 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscearms1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715811 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscearms2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715886 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscessz1-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.715957 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess3-2 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.716028 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t2-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.716098 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscessz1-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.716167 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3t2-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.716240 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess1-1 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.716318 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess3-1 is not assigned to a portgroup
W, [2014-05-25T21:32:09.716392 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess3-1 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.716464 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess3-2 is not assigned to a portgroup
W, [2014-05-25T21:32:09.716535 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscess1-2 clone(don't power on) is not assigned to a portgroup
W, [2014-05-25T21:32:09.729633 #16463]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - isceesxamp1.test.syncopatedtech.com be havin a problem with vnics
W, [2014-05-25T21:32:09.732208 #16463]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - isceesxamp2.test.syncopatedtech.com be havin a problem with vnics
I, [2014-05-25T21:32:11.648825 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa3p1 based on filterSpec
I, [2014-05-25T21:32:19.684782 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T21:32:21.418058 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa3p2 based on filterSpec
I, [2014-05-25T21:32:30.687204 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
I, [2014-05-25T21:32:33.360175 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from iscevcms11 based on filterSpec
I, [2014-05-25T21:32:35.410424 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:32:35.412191 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceisilon11 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412353 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - insightiq_3.0 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412452 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscedcnm11 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412593 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3p1-2 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412684 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3p1-1 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412890 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - iscevcms11 is not assigned to a portgroup
W, [2014-05-25T21:32:35.412979 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3p2-2 is not assigned to a portgroup
W, [2014-05-25T21:32:35.413070 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss3p2-1 is not assigned to a portgroup
W, [2014-05-25T21:32:35.413142 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - isceuims11.syncopatedtech.com is not assigned to a portgroup
